name,risk_level,latitude,longitude
CALSPHERE 1,1,-90,-109
,1,54,-180
CALSPHERE 2,5,-90,-150
,1,44,-180
LCS 1,2,-90,-122
,1,3,-180
TEMPSAT 1,3,-90,-171
,1,-9,-180
CALSPHERE 4A,3,-90,-66
,1,66,-180
OPS 5712 (P/L 160),4,-90,76
,1,-86,-180
LES-5,4,-90,7
,1,68,-180
SURCAL 159,4,-90,3
,1,-11,-180
OPS 5712 (P/L 153),1,-90,-80
,1,42,-180
SURCAL 150B,2,-90,-132
,1,-73,-180
OPS 3811 (DSP 2),3,-90,117
,1,32,-180
RIGIDSPHERE 2 (LCS 4),4,-90,48
,1,51,-180
OSCAR 7 (AO-7),1,-90,63
,1,69,-180
STARLETTE,4,-90,-163
,1,-7,-180
LAGEOS 1,1,-90,-20
,1,-57,-180
OPS 8701 (DSP 10),5,-90,58
,1,-45,-180
PHASE 3B (AO-10),4,-90,39
,1,53,-180
UOSAT 2 (UO-11),5,-90,31
,1,-40,-180
AJISAI (EGS),4,-90,156
,1,-75,-180
TDRS 3,1,-90,117
,1,-1,-180
COSMOS 1989 (ETALON 1),4,-90,28
,1,-20,-180
COSMOS 2024 (ETALON 2),5,-90,-104
,1,-66,-180
FLTSATCOM 8 (USA 46),2,-90,135
,1,-88,-180
LUSAT (LO-19),1,-90,84
,1,-85,-180
HST,2,-90,-142
,1,64,-180
SKYNET 4C,4,-90,43
,1,-76,-180
USA 65 (DSP 15),5,-90,-160
,1,-4,-180
TDRS 5,1,-90,133
,1,-21,-180
USA 75 (DSP 16),5,-90,-102
,1,49,-180
LAGEOS 2,1,-90,122
,1,-72,-180
TDRS 6,1,-90,173
,1,14,-180
SCD 1,2,-90,-14
,1,-3,-180
UFO 2 (USA 95),5,-90,8
,1,79,-180
STELLA,5,-90,81
,1,-32,-180
EYESAT A (AO-27),4,-90,152
,1,-75,-180
ITAMSAT (IO-26),4,-90,67
,1,87,-180
USA 99 (MILSTAR-1 1),4,-90,124
,1,61,-180
RADIO ROSTO (RS-15),2,-90,-107
,1,-39,-180
UFO 4 (USA 108),2,-90,22
,1,61,-180
TDRS 7,1,-90,24
,1,-16,-180
USA 115 (MILSTAR-1 2),3,-90,-52
,1,13,-180
POLAR,3,-90,22
,1,86,-180
INMARSAT 3-F1,5,-90,-83
,1,-77,-180
USA 119,2,-90,106
,1,14,-180
JAS-2 (FO-29),5,-90,6
,1,43,-180
INMARSAT 3-F2,1,-90,-135
,1,-76,-180
INMARSAT 3-F3,1,-90,55
,1,-15,-180
NAVSTAR 43 (USA 132),5,-90,-127
,1,39,-180
FORTE,5,-90,-22
,1,78,-180
AMC-3,4,-90,101
,1,-27,-180
USA 134,3,-90,85
,1,-12,-180
ORBCOMM FM06,2,-90,115
,1,37,-180
INMARSAT 3-F5,2,-90,58
,1,-89,-180
ORBCOMM FM04,2,-90,-32
,1,22,-180
CELESTIS-02 & TAURUS R/B,4,-90,-112
,1,-33,-180
NOAA 15,2,-90,150
,1,-50,-180
TECHSAT 1B (GO-32),1,-90,123
,1,-45,-180
ORBCOMM FM19,4,-90,-41
,1,-29,-180
ORBCOMM FM20,4,-90,159
,1,57,-180
ORBCOMM FM27,1,-90,153
,1,3,-180
SCD 2,4,-90,4
,1,35,-180
ISS (ZARYA),5,-90,-176
,1,-52,-180
SWAS,5,-90,-117
,1,64,-180
SKYNET 4E,4,-90,24
,1,-39,-180
DLR-TUBSAT,4,-90,-67
,1,38,-180
CXO,5,-90,-98
,1,-4,-180
ABS-6,1,-90,77
,1,17,-180
NAVSTAR 46 (USA 145),4,-90,-139
,1,0,-180
UFO 10 (USA 146),5,-90,-58
,1,62,-180
ORBCOMM FM32,4,-90,-114
,1,48,-180
XMM-NEWTON,1,-90,133
,1,-81,-180
TERRA,4,-90,115
,1,17,-180
USA 148,4,-90,125
,1,-89,-180
ASIASTAR,1,-90,-178
,1,78,-180
IMAGE,2,-90,177
,1,59,-180
USA 149 (DSP 20),3,-90,124
,1,-23,-180
NAVSTAR 47 (USA 150),1,-90,174
,1,72,-180
TDRS 8,1,-90,136
,1,10,-180
NAVSTAR 48 (USA 151),3,-90,1
,1,10,-180
CLUSTER II-FM7 (SAMBA),3,-90,131
,1,-65,-180
INTELSAT 9 (IS-9),4,-90,127
,1,-46,-180
CLUSTER II-FM5 (RUMBA),2,-90,-121
,1,63,-180
CLUSTER II-FM8 (TANGO),5,-90,41
,1,15,-180
NSS-11,2,-90,79
,1,-57,-180
USA 153,3,-90,-123
,1,-51,-180
AMC-6,2,-90,-160
,1,-85,-180
NAVSTAR 49 (USA 154),5,-90,74
,1,-30,-180
ODIN,3,-90,-48
,1,-90,-180
USA 157 (MILSTAR-2 2),1,-90,114
,1,85,-180
BSAT-2A,1,-90,-133
,1,-27,-180
INTELSAT 10 (IS-10),5,-90,58
,1,10,-180
OMNI-M1,3,-90,59
,1,85,-180
USA 159 (DSP 21),4,-90,-12
,1,-45,-180
INTELSAT 902 (IS-902),4,-90,-77
,1,-41,-180
PCSAT (NO-44),2,-90,89
,1,-2,-180
PROBA-1,3,-90,72
,1,38,-180
TIMED,2,-90,157
,1,38,-180
MAROC-TUBSAT,5,-90,51
,1,-70,-180
COSMOS 2385,4,-90,-46
,1,63,-180
COSMOS 2386,5,-90,129
,1,-13,-180
USA 164 (MILSTAR-2 3),1,-90,104
,1,80,-180
INTELSAT 904 (IS-904),3,-90,55
,1,-7,-180
AQUA,3,-90,-103
,1,52,-180
DIRECTV 5 (TEMPO 1),4,-90,105
,1,64,-180
INTELSAT 905 (IS-905),5,-90,126
,1,16,-180
GALAXY 3C (G-3C),1,-90,-153
,1,-7,-180
COSMOS 2390,2,-90,-84
,1,52,-180
COSMOS 2391,2,-90,102
,1,61,-180
INTELSAT 906 (IS-906),5,-90,111
,1,6,-180
TDRS 10,1,-90,-125
,1,21,-180
